alert_id,timestamp,user_id,event_id,rule_triggered,risk_score,decision,explanation,status,risk_factors,risk_factors_obj
ALERT000001,2026-02-03T16:39:26.342Z,USR0401,EVT000001,AUTH-002,51,review,"Risk score 51/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":25,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":13,""is_threat"":0}"
ALERT000002,2026-01-15T16:39:26.344Z,USR0074,EVT000002,AUTH-002,36,suppress,"Risk score 36/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":48,""is_threat"":0}"
ALERT000003,2026-01-16T16:39:26.344Z,USR0788,EVT000003,AUTH-002,59,review,"Risk score 59/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":72,""is_threat"":0}"
ALERT000004,2026-01-16T16:39:26.344Z,USR0575,EVT000004,AUTH-003,63,review,"Risk score 63/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":0,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":0,""time_since_last_login_hours"":11,""is_threat"":0}"
ALERT000005,2026-01-17T16:39:26.344Z,USR0790,EVT000005,AUTH-002,100,escalate,"Risk score 100/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":31,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":9,""is_threat"":1}"
ALERT000006,2026-01-14T16:39:26.344Z,USR0940,EVT000006,AUTH-001,16,suppress,"Risk score 16/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":20,""is_threat"":0}"
ALERT000007,2026-02-11T16:39:26.344Z,USR0454,EVT000007,AUTH-002,99,escalate,"Risk score 99/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":38,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":12,""is_threat"":1}"
ALERT000008,2026-02-02T16:39:26.344Z,USR0918,EVT000008,AUTH-003,71,review,"Risk score 71/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":19,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":16,""is_threat"":0}"
ALERT000009,2026-02-08T16:39:26.344Z,USR0788,EVT000009,AUTH-002,63,review,"Risk score 63/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":20,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":1,""time_since_last_login_hours"":45,""is_threat"":0}"
ALERT000010,2026-01-28T16:39:26.344Z,USR0693,EVT000010,AUTH-003,72,review,"Risk score 72/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":27,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":17,""is_threat"":0}"
ALERT000011,2026-01-29T16:39:26.344Z,USR0344,EVT000011,AUTH-002,38,suppress,"Risk score 38/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":13,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":2,""time_since_last_login_hours"":24,""is_threat"":0}"
ALERT000012,2026-01-14T16:39:26.344Z,USR0662,EVT000012,AUTH-001,42,review,"Risk score 42/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":19,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":5,""time_since_last_login_hours"":8,""is_threat"":0}"
ALERT000013,2026-02-10T16:39:26.344Z,USR0380,EVT000013,AUTH-001,44,review,"Risk score 44/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":32,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":7,""is_threat"":0}"
ALERT000014,2026-02-07T16:39:26.344Z,USR0142,EVT000014,AUTH-003,0,suppress,"Risk score 0/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":30,""description"":""Device anomaly""}]","{""is_new_device"":false,""failed_login_attempts_24h"":3,""time_since_last_login_hours"":59,""is_threat"":0}"
ALERT000015,2026-02-07T16:39:26.344Z,USR0736,EVT000015,AUTH-003,63,review,"Risk score 63/100. Auto generated dataset.",pending,"[{""factor"":""new_device"",""points"":36,""description"":""Device anomaly""}]","{""is_new_device"":true,""failed_login_attempts_24h"":4,""time_since_last_login_hours"":53,""is_threat"":0}"
