event_id,timestamp,user_id,event_type,metadata
EVT000001,2026-02-03T16:39:26.342Z,USR0401,login,"{""device"":{""id"":""DEV1170"",""type"":""tablet"",""os"":""macOS"",""browser"":""Edge""},""location"":{""ip"":""192.168.55.232"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""e03c3001-cf4b-45ed-9b11-d327b0dd3264"",""login_method"":""mfa""}}"
EVT000002,2026-01-15T16:39:26.344Z,USR0074,login,"{""device"":{""id"":""DEV1885"",""type"":""desktop"",""os"":""macOS"",""browser"":""Chrome""},""location"":{""ip"":""192.168.189.29"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""5ddbd0be-349c-4271-b7a0-c1064b598fbe"",""login_method"":""sso""}}"
EVT000003,2026-01-16T16:39:26.344Z,USR0788,login,"{""device"":{""id"":""DEV527"",""type"":""desktop"",""os"":""iOS"",""browser"":""Edge""},""location"":{""ip"":""192.168.116.50"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""249051c2-af1c-496e-baf5-c758d8dd26b4"",""login_method"":""mfa""}}"
EVT000004,2026-01-16T16:39:26.344Z,USR0575,login,"{""device"":{""id"":""DEV1724"",""type"":""desktop"",""os"":""Linux"",""browser"":""Safari""},""location"":{""ip"":""192.168.157.67"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""a2e34432-e528-4f57-853f-5cab4ac3ffa3"",""login_method"":""sso""}}"
EVT000005,2026-01-17T16:39:26.344Z,USR0790,login,"{""device"":{""id"":""DEV1970"",""type"":""mobile"",""os"":""Windows"",""browser"":""Edge""},""location"":{""ip"":""192.168.86.211"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""a4bd50a8-b93f-45be-818b-4302242a5d71"",""login_method"":""sso""}}"
EVT000006,2026-01-14T16:39:26.344Z,USR0940,login,"{""device"":{""id"":""DEV1193"",""type"":""mobile"",""os"":""Android"",""browser"":""Edge""},""location"":{""ip"":""192.168.178.29"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""aa911bd0-a77e-49f6-b08a-9269dfed0321"",""login_method"":""sso""}}"
EVT000007,2026-02-11T16:39:26.344Z,USR0454,login,"{""device"":{""id"":""DEV1076"",""type"":""tablet"",""os"":""Windows"",""browser"":""Safari""},""location"":{""ip"":""192.168.221.92"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""d40a916f-9001-4648-bae7-1155754ca415"",""login_method"":""password""}}"
EVT000008,2026-02-02T16:39:26.344Z,USR0918,login,"{""device"":{""id"":""DEV1808"",""type"":""desktop"",""os"":""Android"",""browser"":""Firefox""},""location"":{""ip"":""192.168.89.176"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""c997f1b6-cbcd-4e19-91c5-5f6aef0d2cf1"",""login_method"":""sso""}}"
EVT000009,2026-02-08T16:39:26.344Z,USR0788,login,"{""device"":{""id"":""DEV1613"",""type"":""mobile"",""os"":""Android"",""browser"":""Firefox""},""location"":{""ip"":""192.168.178.4"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""8ac245c0-6ffe-4440-a512-87ebb186df1c"",""login_method"":""sso""}}"
EVT000010,2026-01-28T16:39:26.344Z,USR0693,login,"{""device"":{""id"":""DEV1325"",""type"":""mobile"",""os"":""Windows"",""browser"":""Chrome""},""location"":{""ip"":""192.168.86.128"",""city"":""Berlin"",""country"":""Germany"",""latitude"":52.52,""longitude"":13.4},""session"":{""session_id"":""74280408-44e6-40c4-8562-9962a3f3abf8"",""login_method"":""mfa""}}"
