user_id,last_updated,profile
USR0401,2026-02-03T16:39:26.342Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-03T16:39:26.342Z"",""account_age_days"":0}}"
USR0074,2026-01-15T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-15T16:39:26.344Z"",""account_age_days"":0}}"
USR0788,2026-01-16T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-16T16:39:26.344Z"",""account_age_days"":0}}"
USR0575,2026-01-16T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-16T16:39:26.344Z"",""account_age_days"":0}}"
USR0790,2026-01-17T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-17T16:39:26.344Z"",""account_age_days"":0}}"
USR0940,2026-01-14T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-14T16:39:26.344Z"",""account_age_days"":0}}"
USR0454,2026-02-11T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-11T16:39:26.344Z"",""account_age_days"":0}}"
USR0918,2026-02-02T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-02T16:39:26.344Z"",""account_age_days"":0}}"
USR0693,2026-01-28T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-28T16:39:26.344Z"",""account_age_days"":0}}"
USR0344,2026-01-29T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-29T16:39:26.344Z"",""account_age_days"":0}}"
USR0662,2026-01-14T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-14T16:39:26.344Z"",""account_age_days"":0}}"
USR0380,2026-02-10T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-10T16:39:26.344Z"",""account_age_days"":0}}"
USR0142,2026-02-07T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-07T16:39:26.344Z"",""account_age_days"":0}}"
USR0736,2026-02-07T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-07T16:39:26.344Z"",""account_age_days"":0}}"
USR0308,2026-02-01T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-01T16:39:26.344Z"",""account_age_days"":0}}"
USR0801,2026-01-20T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-20T16:39:26.344Z"",""account_age_days"":0}}"
USR0398,2026-01-24T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-24T16:39:26.344Z"",""account_age_days"":0}}"
USR0033,2026-02-13T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-13T16:39:26.344Z"",""account_age_days"":0}}"
USR0544,2026-01-25T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-25T16:39:26.344Z"",""account_age_days"":0}}"
USR0182,2026-01-30T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-30T16:39:26.344Z"",""account_age_days"":0}}"
USR0301,2026-02-08T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-08T16:39:26.344Z"",""account_age_days"":0}}"
USR0330,2026-01-17T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-17T16:39:26.344Z"",""account_age_days"":0}}"
USR0237,2026-01-26T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-26T16:39:26.344Z"",""account_age_days"":0}}"
USR0982,2026-02-02T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-02T16:39:26.344Z"",""account_age_days"":0}}"
USR0548,2026-01-29T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-29T16:39:26.344Z"",""account_age_days"":0}}"
USR0148,2026-01-31T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-31T16:39:26.344Z"",""account_age_days"":0}}"
USR0101,2026-02-09T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-09T16:39:26.344Z"",""account_age_days"":0}}"
USR0156,2026-01-16T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-16T16:39:26.344Z"",""account_age_days"":0}}"
USR0624,2026-01-16T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-16T16:39:26.344Z"",""account_age_days"":0}}"
USR0422,2026-01-17T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-17T16:39:26.344Z"",""account_age_days"":0}}"
USR0118,2026-01-22T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-22T16:39:26.344Z"",""account_age_days"":0}}"
USR0844,2026-02-06T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-02-06T16:39:26.344Z"",""account_age_days"":0}}"
USR0744,2026-01-18T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-18T16:39:26.344Z"",""account_age_days"":0}}"
USR0902,2026-01-28T16:39:26.344Z,"{""login_hours"":{""mean"":9,""std_dev"":1,""typical_range"":[7,11],""timezone"":""UTC""},""devices"":[],""locations"":[],""statistics"":{""total_logins"":1,""first_login"":""2026-01-28T16:39:26.344Z"",""account_age_days"":0}}"
